,symbol,size,date_time_unix,date_time_utc,date_time_utc_full_hour
4,SILJ,0.03,1646846422,2022-03-09 12:20:22+00:00,2022-03-09 13:00:00+00:00
5,COPX,0.03,1646846422,2022-03-09 12:20:22+00:00,2022-03-09 13:00:00+00:00
0,CRON,0.05,1646849203,2022-03-09 13:06:43+00:00,2022-03-09 14:00:00+00:00
1,BABA,0.045,1646849203,2022-03-09 13:06:43+00:00,2022-03-09 14:00:00+00:00
2,ETHUSDT,0.035,1646849203,2022-03-09 13:06:43+00:00,2022-03-09 14:00:00+00:00
3,V,0,1646849203,2022-03-09 13:06:43+00:00,2022-03-09 14:00:00+00:00
4,SWK,0,1646849203,2022-03-09 13:06:43+00:00,2022-03-09 14:00:00+00:00
5,SWIM,0,1646849203,2022-03-09 13:06:43+00:00,2022-03-09 14:00:00+00:00
6,MJ,0.04,1646849203,2022-03-09 13:06:43+00:00,2022-03-09 14:00:00+00:00
7,AVID,0,1646849203,2022-03-09 13:06:43+00:00,2022-03-09 14:00:00+00:00
8,CVNA,0.02,1646849203,2022-03-09 13:06:43+00:00,2022-03-09 14:00:00+00:00
9,CGC,0.02,1646849203,2022-03-09 13:06:43+00:00,2022-03-09 14:00:00+00:00
10,CRM,0,1646849203,2022-03-09 13:06:43+00:00,2022-03-09 14:00:00+00:00
11,CIEN,0.015,1646849203,2022-03-09 13:06:43+00:00,2022-03-09 14:00:00+00:00
12,TSLA,0.015,1646849203,2022-03-09 13:06:43+00:00,2022-03-09 14:00:00+00:00
13,KYMR,0,1646849203,2022-03-09 13:06:43+00:00,2022-03-09 14:00:00+00:00
14,SE,0,1646849203,2022-03-09 13:06:43+00:00,2022-03-09 14:00:00+00:00
15,ARVN,0,1646849203,2022-03-09 13:06:43+00:00,2022-03-09 14:00:00+00:00
16,FSLY,0,1646849203,2022-03-09 13:06:43+00:00,2022-03-09 14:00:00+00:00
17,CCCC,0,1646849203,2022-03-09 13:06:43+00:00,2022-03-09 14:00:00+00:00
18,SPY,-0.15,1646849203,2022-03-09 13:06:43+00:00,2022-03-09 14:00:00+00:00
19,IWM,-0.15,1646849203,2022-03-09 13:06:43+00:00,2022-03-09 14:00:00+00:00
20,QQQ,-0.5,1646849203,2022-03-09 13:06:43+00:00,2022-03-09 14:00:00+00:00
0,GOOG,0.05,1647448452,2022-03-16 12:34:12+00:00,2022-03-16 13:00:00+00:00
1,AMZN,0.05,1647448452,2022-03-16 12:34:12+00:00,2022-03-16 13:00:00+00:00
2,MSFT,0.05,1647448452,2022-03-16 12:34:12+00:00,2022-03-16 13:00:00+00:00
3,BILL,0.05,1647448452,2022-03-16 12:34:12+00:00,2022-03-16 13:00:00+00:00
4,KWEB,0.06,1647448452,2022-03-16 12:34:12+00:00,2022-03-16 13:00:00+00:00
